web-scraper-order,web-scraper-start-url,banner-image-src,product_name,price,ratings,ship_from,banners,has_video,product_image-src,is_ad,sold,shipping_speed,product_url,product_url-href
"1731387704-1","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","","🔥ส่งไว ส่งฟรี 👍Truvitar Pea Protein Green Tea 800g | โปรตีนจากถั่วลันเตารสชาเขียวมัทฉะ ทางเลือกสำหรับคนทานเจ","980","ขายแล้ว 1 ชิ้น","จังหวัดสระบุรี","การผ่อนชำระโค้ดลด ฿150","","https://down-th.img.susercontent.com/file/th-11134207-7r98w-lyaijwq5oio1c3_tn.webp","","ขายแล้ว 1 ชิ้น","2-5 วัน","🔥ส่งไว ส่งฟรี 👍Truvitar Pea Protein Green Tea 800g | โปรตีนจากถั่วลันเตารสชาเขียวมัทฉะ ทางเลือกสำหรับคนทานเจ฿980-30%การผ่อนชำระโค้ดลด ฿150ขายแล้ว 1 ชิ้น2-5 วันจังหวัดสระบุรี","https://shopee.co.th/%F0%9F%94%A5%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B9%84%E0%B8%A7-%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%9F%E0%B8%A3%E0%B8%B5-%F0%9F%91%8DTruvitar-Pea-Protein-Green-Tea-800g-%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B8%95%E0%B8%B5%E0%B8%99%E0%B8%88%E0%B8%B2%E0%B8%81%E0%B8%96%E0%B8%B1%E0%B9%88%E0%B8%A7%E0%B8%A5%E0%B8%B1%E0%B8%99%E0%B9%80%E0%B8%95%E0%B8%B2%E0%B8%A3%E0%B8%AA%E0%B8%8A%E0%B8%B2%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7%E0%B8%A1%E0%B8%B1%E0%B8%97%E0%B8%89%E0%B8%B0-%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%84%E0%B8%99%E0%B8%97%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%88-i.1016131319.20496578599?sp_atk=b284aff4-7f35-436f-8519-540ab87138fa&xptdk=b284aff4-7f35-436f-8519-540ab87138fa"
"1731387704-2","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","[2 กล่อง] Equal Cafe อิควล คาเฟ่ ชาเขียวหญ้าหวาน 3in1 รสมัทฉะ ลาเต้ ขนาด 6 ซอง 60 แคลอรี","186","ขายแล้ว 3 ชิ้น","จังหวัดสมุทรปราการ","ซื้อ 5 ชิ้น ลด 5%","","https://down-th.img.susercontent.com/file/sg-11134201-7reoz-m2djamrx4blod7_tn.webp","","ขายแล้ว 3 ชิ้น","2-5 วัน","[2 กล่อง] Equal Cafe อิควล คาเฟ่ ชาเขียวหญ้าหวาน 3in1 รสมัทฉะ ลาเต้ ขนาด 6 ซอง 60 แคลอรี฿186-6%ซื้อ 5 ชิ้น ลด 5%ขายแล้ว 3 ชิ้น2-5 วันจังหวัดสมุทรปราการ","https://shopee.co.th/-2-%E0%B8%81%E0%B8%A5%E0%B9%88%E0%B8%AD%E0%B8%87-Equal-Cafe-%E0%B8%AD%E0%B8%B4%E0%B8%84%E0%B8%A7%E0%B8%A5-%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88-%E0%B8%8A%E0%B8%B2%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7%E0%B8%AB%E0%B8%8D%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%A7%E0%B8%B2%E0%B8%99-3in1-%E0%B8%A3%E0%B8%AA%E0%B8%A1%E0%B8%B1%E0%B8%97%E0%B8%89%E0%B8%B0-%E0%B8%A5%E0%B8%B2%E0%B9%80%E0%B8%95%E0%B9%89-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-6-%E0%B8%8B%E0%B8%AD%E0%B8%87-60-%E0%B9%81%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%A3%E0%B8%B5-i.250722446.27601157972?sp_atk=98397639-8763-425e-afb6-eb7833711c80&xptdk=98397639-8763-425e-afb6-eb7833711c80"
"1731387704-3","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","ชาเขียว🌱  มัทฉะ ลาเต้ กิฟฟารีน เกรดพรีเมี่ยม ชงง่าย อร่อยดี มีประโยชน์ สูตรลดน้ำตาล 40%","176","5.0","จังหวัดเพชรบุรี","โค้ดลด 5%","","https://down-th.img.susercontent.com/file/th-11134207-23030-wcgsqrgtahov76_tn.webp","","ขายแล้ว 2 ชิ้น","2-5 วัน","ชาเขียว🌱  มัทฉะ ลาเต้ กิฟฟารีน เกรดพรีเมี่ยม ชงง่าย อร่อยดี มีประโยชน์ สูตรลดน้ำตาล 40%฿176-20%โค้ดลด 5%5.0ขายแล้ว 2 ชิ้น2-5 วันจังหวัดเพชรบุรี","https://shopee.co.th/%E0%B8%8A%E0%B8%B2%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7%F0%9F%8C%B1-%E0%B8%A1%E0%B8%B1%E0%B8%97%E0%B8%89%E0%B8%B0-%E0%B8%A5%E0%B8%B2%E0%B9%80%E0%B8%95%E0%B9%89-%E0%B8%81%E0%B8%B4%E0%B8%9F%E0%B8%9F%E0%B8%B2%E0%B8%A3%E0%B8%B5%E0%B8%99-%E0%B9%80%E0%B8%81%E0%B8%A3%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B5%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1-%E0%B8%8A%E0%B8%87%E0%B8%87%E0%B9%88%E0%B8%B2%E0%B8%A2-%E0%B8%AD%E0%B8%A3%E0%B9%88%E0%B8%AD%E0%B8%A2%E0%B8%94%E0%B8%B5-%E0%B8%A1%E0%B8%B5%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%82%E0%B8%A2%E0%B8%8A%E0%B8%99%E0%B9%8C-%E0%B8%AA%E0%B8%B9%E0%B8%95%E0%B8%A3%E0%B8%A5%E0%B8%94%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%95%E0%B8%B2%E0%B8%A5-40--i.253575595.23730942660?sp_atk=c24e26d9-c673-4275-a222-a141592bab62&xptdk=c24e26d9-c673-4275-a222-a141592bab62"
"1731387704-4","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7rasa-m1i3ri34kmzt56","🌈🇹🇭 STARBUCKS by NESCAFE Dolce Gusto แคปซูล Matcha Latte กล่องละ 12 แคปซูล","295","4.9","จังหวัดสมุทรปราการ","ส่งไว","","https://down-th.img.susercontent.com/file/th-11134207-7r990-lzilypo0985d92_tn.webp","","ขายแล้ว 446 ชิ้น","1-4 วัน","🌈🇹🇭 STARBUCKS by NESCAFE Dolce Gusto แคปซูล Matcha Latte กล่องละ 12 แคปซูล฿295ส่งไว4.9ขายแล้ว 446 ชิ้น1-4 วันจังหวัดสมุทรปราการ","https://shopee.co.th/%F0%9F%8C%88%F0%9F%87%B9%F0%9F%87%AD-STARBUCKS-by-NESCAFE-Dolce-Gusto-%E0%B9%81%E0%B8%84%E0%B8%9B%E0%B8%8B%E0%B8%B9%E0%B8%A5-Matcha-Latte-%E0%B8%81%E0%B8%A5%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%A5%E0%B8%B0-12-%E0%B9%81%E0%B8%84%E0%B8%9B%E0%B8%8B%E0%B8%B9%E0%B8%A5-i.2187718.19425085976?sp_atk=2771b1d1-f3e9-4c87-aa8c-e8fb80ff2331&xptdk=2771b1d1-f3e9-4c87-aa8c-e8fb80ff2331"
"1731387704-5","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","[2 กล่อง] LIPTON PEPPERMINT TEA (1.5G X 25 TEA BAGS) ลิปตัน เปปเปอร์มิ้นท์ ชา","239","4.9","จังหวัดสมุทรปราการ","โค้ดลด ฿20","","https://down-th.img.susercontent.com/file/266f59429a810d79bb1134a27da36345_tn.webp","","ขายแล้ว 293 ชิ้น","2-6 วัน","[2 กล่อง] LIPTON PEPPERMINT TEA (1.5G X 25 TEA BAGS) ลิปตัน เปปเปอร์มิ้นท์ ชา฿239-25%โค้ดลด ฿204.9ขายแล้ว 293 ชิ้น2-6 วันจังหวัดสมุทรปราการ","https://shopee.co.th/-2-%E0%B8%81%E0%B8%A5%E0%B9%88%E0%B8%AD%E0%B8%87-LIPTON-PEPPERMINT-TEA-(1.5G-X-25-TEA-BAGS)-%E0%B8%A5%E0%B8%B4%E0%B8%9B%E0%B8%95%E0%B8%B1%E0%B8%99-%E0%B9%80%E0%B8%9B%E0%B8%9B%E0%B9%80%E0%B8%9B%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%A1%E0%B8%B4%E0%B9%89%E0%B8%99%E0%B8%97%E0%B9%8C-%E0%B8%8A%E0%B8%B2-i.521877387.12206258318?sp_atk=0e727a5e-90ac-4cf0-b2d4-eef0433967d1&xptdk=0e727a5e-90ac-4cf0-b2d4-eef0433967d1"
"1731387704-6","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","ระมิงค์ ชาดำอัสสัม USDA Organic 250g. มีสารต้านอนุมูลอิสระ ช่วยเผาผลาญไขมัน ชาผงฝรั่ง AssamicaBlackT","189","4.9","จังหวัดเชียงใหม่","ช้อปเพิ่มคุ้มกว่า","","https://down-th.img.susercontent.com/file/1cc1e4ce939b83bf366e93b7ee88022e_tn.webp","","ขายแล้ว 923 ชิ้น","2-6 วัน","ระมิงค์ ชาดำอัสสัม USDA Organic 250g. มีสารต้านอนุมูลอิสระ ช่วยเผาผลาญไขมัน ชาผงฝรั่ง AssamicaBlackT฿189ช้อปเพิ่มคุ้มกว่า4.9ขายแล้ว 923 ชิ้น2-6 วันจังหวัดเชียงใหม่","https://shopee.co.th/%E0%B8%A3%E0%B8%B0%E0%B8%A1%E0%B8%B4%E0%B8%87%E0%B8%84%E0%B9%8C-%E0%B8%8A%E0%B8%B2%E0%B8%94%E0%B8%B3%E0%B8%AD%E0%B8%B1%E0%B8%AA%E0%B8%AA%E0%B8%B1%E0%B8%A1-USDA-Organic-250g.-%E0%B8%A1%E0%B8%B5%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%95%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%99%E0%B8%B8%E0%B8%A1%E0%B8%B9%E0%B8%A5%E0%B8%AD%E0%B8%B4%E0%B8%AA%E0%B8%A3%E0%B8%B0-%E0%B8%8A%E0%B9%88%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%9C%E0%B8%B2%E0%B8%9C%E0%B8%A5%E0%B8%B2%E0%B8%8D%E0%B9%84%E0%B8%82%E0%B8%A1%E0%B8%B1%E0%B8%99-%E0%B8%8A%E0%B8%B2%E0%B8%9C%E0%B8%87%E0%B8%9D%E0%B8%A3%E0%B8%B1%E0%B9%88%E0%B8%87-AssamicaBlackT-i.93799053.2448491567?sp_atk=6f5f6c42-03f0-438e-a426-d13f1ed8a3b6&xptdk=6f5f6c42-03f0-438e-a426-d13f1ed8a3b6"
"1731387704-7","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","","ชาลิปตัน LIPTON YELLOW LABEL TEA ( ซองเปลือย ทุกขนาด )","69","4.8","จังหวัดปัตตานี","","","https://down-th.img.susercontent.com/file/c7ceba4abb9a982040237475fd55f238_tn.webp","","ขายแล้ว 4.2พัน ชิ้น","3-6 วัน","ชาลิปตัน LIPTON YELLOW LABEL TEA ( ซองเปลือย ทุกขนาด )฿694.8ขายแล้ว 4.2พัน ชิ้น3-6 วันจังหวัดปัตตานี","https://shopee.co.th/%E0%B8%8A%E0%B8%B2%E0%B8%A5%E0%B8%B4%E0%B8%9B%E0%B8%95%E0%B8%B1%E0%B8%99-LIPTON-YELLOW-LABEL-TEA-(-%E0%B8%8B%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%9B%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%A2-%E0%B8%97%E0%B8%B8%E0%B8%81%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-)-i.252190942.5357766613?sp_atk=02802a37-07d7-403a-bdcf-af331d81f0a8&xptdk=02802a37-07d7-403a-bdcf-af331d81f0a8"
"1731387704-8","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7rasa-m2gel57xqz6sd2","เนสที ชาปรุงสำเร็จ ชามะนาว ชามิกซ์เบอร์รี่*แพ็ค18ซอง*  และ ชานมเย็น*แพ็ค13ซอง*","103","4.9","จังหวัดยะลา","ถูกสุดบนช้อปปี้ช้อปปี้ถูกชัวร์","","https://down-th.img.susercontent.com/file/th-11134207-7rasm-m1c91dg2ag1f5f_tn.webp","","ขายแล้ว 13.7พัน ชิ้น","2-6 วัน","เนสที ชาปรุงสำเร็จ ชามะนาว ชามิกซ์เบอร์รี่*แพ็ค18ซอง*  และ ชานมเย็น*แพ็ค13ซอง*฿103ถูกสุดบนช้อปปี้ช้อปปี้ถูกชัวร์4.9ขายแล้ว 13.7พัน ชิ้น2-6 วันจังหวัดยะลา","https://shopee.co.th/%E0%B9%80%E0%B8%99%E0%B8%AA%E0%B8%97%E0%B8%B5-%E0%B8%8A%E0%B8%B2%E0%B8%9B%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B8%AA%E0%B8%B3%E0%B9%80%E0%B8%A3%E0%B9%87%E0%B8%88-%E0%B8%8A%E0%B8%B2%E0%B8%A1%E0%B8%B0%E0%B8%99%E0%B8%B2%E0%B8%A7-%E0%B8%8A%E0%B8%B2%E0%B8%A1%E0%B8%B4%E0%B8%81%E0%B8%8B%E0%B9%8C%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%A3%E0%B8%B5%E0%B9%88*%E0%B9%81%E0%B8%9E%E0%B9%87%E0%B8%8418%E0%B8%8B%E0%B8%AD%E0%B8%87*-%E0%B9%81%E0%B8%A5%E0%B8%B0-%E0%B8%8A%E0%B8%B2%E0%B8%99%E0%B8%A1%E0%B9%80%E0%B8%A2%E0%B9%87%E0%B8%99*%E0%B9%81%E0%B8%9E%E0%B9%87%E0%B8%8413%E0%B8%8B%E0%B8%AD%E0%B8%87*-i.401257089.10818223025?sp_atk=c35ce117-c14b-4312-aebe-e7d1cd15ae91&xptdk=c35ce117-c14b-4312-aebe-e7d1cd15ae91"
"1731387704-9","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r990-lza9higk3xrdd5","[3 กล่อง] Equal Cafe อิควล คาเฟ่ ชาเขียวหญ้าหวาน 3in1 รสมัทฉะ ลาเต้ ขนาด 6 ซอง 60 แคลอรี","267","4.9","จังหวัดสมุทรปราการ","โค้ดลด ฿40","","https://down-th.img.susercontent.com/file/sg-11134201-7renl-m27mr37sxomw8c_tn.webp","","ขายแล้ว 42 ชิ้น","2-5 วัน","[3 กล่อง] Equal Cafe อิควล คาเฟ่ ชาเขียวหญ้าหวาน 3in1 รสมัทฉะ ลาเต้ ขนาด 6 ซอง 60 แคลอรี฿267-10%โค้ดลด ฿404.9ขายแล้ว 42 ชิ้น2-5 วันจังหวัดสมุทรปราการ","https://shopee.co.th/-3-%E0%B8%81%E0%B8%A5%E0%B9%88%E0%B8%AD%E0%B8%87-Equal-Cafe-%E0%B8%AD%E0%B8%B4%E0%B8%84%E0%B8%A7%E0%B8%A5-%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88-%E0%B8%8A%E0%B8%B2%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7%E0%B8%AB%E0%B8%8D%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%A7%E0%B8%B2%E0%B8%99-3in1-%E0%B8%A3%E0%B8%AA%E0%B8%A1%E0%B8%B1%E0%B8%97%E0%B8%89%E0%B8%B0-%E0%B8%A5%E0%B8%B2%E0%B9%80%E0%B8%95%E0%B9%89-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-6-%E0%B8%8B%E0%B8%AD%E0%B8%87-60-%E0%B9%81%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%A3%E0%B8%B5-i.238391619.6731715059?sp_atk=4c42c0bd-3ee2-4a1b-8032-6049d76e2e97&xptdk=4c42c0bd-3ee2-4a1b-8032-6049d76e2e97"
"1731387704-10","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-50009109-9ab90ead8a03c7b7454cafa8f866cd37","ชายอดน้ำค้างเกรด Premium กลิ่นหอมชื่นใจมาก ดื่มง่าย ชุ่มคอ💐ยอดคู่ที่1เกรดดีที่สุด💐ใบชาOrganic100%💐","128","4.9","จังหวัดเชียงใหม่","","badge-video","https://down-th.img.susercontent.com/file/th-11134207-23020-fl8b8vh3fbnv23_tn.webp","","ขายแล้ว 2พัน ชิ้น","3-6 วัน","ชายอดน้ำค้างเกรด Premium กลิ่นหอมชื่นใจมาก ดื่มง่าย ชุ่มคอ💐ยอดคู่ที่1เกรดดีที่สุด💐ใบชาOrganic100%💐฿128-15%4.9ขายแล้ว 2พัน ชิ้น3-6 วันจังหวัดเชียงใหม่","https://shopee.co.th/%E0%B8%8A%E0%B8%B2%E0%B8%A2%E0%B8%AD%E0%B8%94%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%A3%E0%B8%94-Premium-%E0%B8%81%E0%B8%A5%E0%B8%B4%E0%B9%88%E0%B8%99%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B8%8A%E0%B8%B7%E0%B9%88%E0%B8%99%E0%B9%83%E0%B8%88%E0%B8%A1%E0%B8%B2%E0%B8%81-%E0%B8%94%E0%B8%B7%E0%B9%88%E0%B8%A1%E0%B8%87%E0%B9%88%E0%B8%B2%E0%B8%A2-%E0%B8%8A%E0%B8%B8%E0%B9%88%E0%B8%A1%E0%B8%84%E0%B8%AD%F0%9F%92%90%E0%B8%A2%E0%B8%AD%E0%B8%94%E0%B8%84%E0%B8%B9%E0%B9%88%E0%B8%97%E0%B8%B5%E0%B9%881%E0%B9%80%E0%B8%81%E0%B8%A3%E0%B8%94%E0%B8%94%E0%B8%B5%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%AA%E0%B8%B8%E0%B8%94%F0%9F%92%90%E0%B9%83%E0%B8%9A%E0%B8%8A%E0%B8%B2Organic100-%F0%9F%92%90-i.261095943.6734800547?sp_atk=db62ca0e-63ed-4206-b1a4-cb6a1bac4612&xptdk=db62ca0e-63ed-4206-b1a4-cb6a1bac4612"
"1731387704-11","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","","ชาหมัก ชาจองกุกคอมบูชา Teazen Kombucha 1กล่อง 10ซอง","115","5.0","จังหวัดกรุงเทพมหานคร","","","https://down-th.img.susercontent.com/file/th-11134207-7r992-m0bjwkhbjl4q2e_tn.webp","","ขายแล้ว 984 ชิ้น","2-5 วัน","ชาหมัก ชาจองกุกคอมบูชา Teazen Kombucha 1กล่อง 10ซอง฿1155.0ขายแล้ว 984 ชิ้น2-5 วันจังหวัดกรุงเทพมหานคร","https://shopee.co.th/%E0%B8%8A%E0%B8%B2%E0%B8%AB%E0%B8%A1%E0%B8%B1%E0%B8%81-%E0%B8%8A%E0%B8%B2%E0%B8%88%E0%B8%AD%E0%B8%87%E0%B8%81%E0%B8%B8%E0%B8%81%E0%B8%84%E0%B8%AD%E0%B8%A1%E0%B8%9A%E0%B8%B9%E0%B8%8A%E0%B8%B2-Teazen-Kombucha-1%E0%B8%81%E0%B8%A5%E0%B9%88%E0%B8%AD%E0%B8%87-10%E0%B8%8B%E0%B8%AD%E0%B8%87-i.4926780.17637353903?sp_atk=66742c14-00dd-4e21-abed-5520fb5400e9&xptdk=66742c14-00dd-4e21-abed-5520fb5400e9"
"1731387704-12","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","ชามาเต เยอร์บามาเต ชาพุงยุบ Yerba mate บรรจุ10ซองดื่มได้10วัน","89","4.9","จังหวัดสมุทรปราการ","","","https://down-th.img.susercontent.com/file/th-11134207-7r98x-lqzt1v6w2lim93_tn.webp","","ขายแล้ว 2.5พัน ชิ้น","2-5 วัน","ชามาเต เยอร์บามาเต ชาพุงยุบ Yerba mate บรรจุ10ซองดื่มได้10วัน฿89-10%4.9ขายแล้ว 2.5พัน ชิ้น2-5 วันจังหวัดสมุทรปราการ","https://shopee.co.th/%E0%B8%8A%E0%B8%B2%E0%B8%A1%E0%B8%B2%E0%B9%80%E0%B8%95-%E0%B9%80%E0%B8%A2%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%9A%E0%B8%B2%E0%B8%A1%E0%B8%B2%E0%B9%80%E0%B8%95-%E0%B8%8A%E0%B8%B2%E0%B8%9E%E0%B8%B8%E0%B8%87%E0%B8%A2%E0%B8%B8%E0%B8%9A-Yerba-mate-%E0%B8%9A%E0%B8%A3%E0%B8%A3%E0%B8%88%E0%B8%B810%E0%B8%8B%E0%B8%AD%E0%B8%87%E0%B8%94%E0%B8%B7%E0%B9%88%E0%B8%A1%E0%B9%84%E0%B8%94%E0%B9%8910%E0%B8%A7%E0%B8%B1%E0%B8%99-i.27202979.6384044670?sp_atk=7d319f27-2e0e-4d56-8c93-d79b2d859059&xptdk=7d319f27-2e0e-4d56-8c93-d79b2d859059"
"1731387704-13","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r990-lza9h6gjo4vd88","ดิลมา ชาซอง ชาสมุนไพร เปปเปอร์มิ้นต์ 20 ซอง(Dilmah Pure Peppermint Leaves)","275","4.9","จังหวัดสมุทรปราการ","โค้ดลด 5%","","https://down-th.img.susercontent.com/file/th-11134207-7r98y-lulvlo9ernla0e_tn.webp","","ขายแล้ว 515 ชิ้น","2-5 วัน","ดิลมา ชาซอง ชาสมุนไพร เปปเปอร์มิ้นต์ 20 ซอง(Dilmah Pure Peppermint Leaves)฿275โค้ดลด 5%4.9ขายแล้ว 515 ชิ้น2-5 วันจังหวัดสมุทรปราการ","https://shopee.co.th/%E0%B8%94%E0%B8%B4%E0%B8%A5%E0%B8%A1%E0%B8%B2-%E0%B8%8A%E0%B8%B2%E0%B8%8B%E0%B8%AD%E0%B8%87-%E0%B8%8A%E0%B8%B2%E0%B8%AA%E0%B8%A1%E0%B8%B8%E0%B8%99%E0%B9%84%E0%B8%9E%E0%B8%A3-%E0%B9%80%E0%B8%9B%E0%B8%9B%E0%B9%80%E0%B8%9B%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%A1%E0%B8%B4%E0%B9%89%E0%B8%99%E0%B8%95%E0%B9%8C-20-%E0%B8%8B%E0%B8%AD%E0%B8%87(Dilmah-Pure-Peppermint-Leaves)-i.111685098.1734213054?sp_atk=7e0e9aaa-0c57-4fbc-8a66-a52321ed6420&xptdk=7e0e9aaa-0c57-4fbc-8a66-a52321ed6420"
