web-scraper-order,web-scraper-start-url,banner-image-src,product_name,price,ratings,ship_from,banners,has_video,product_image-src,is_ad,sold,shipping_speed,product_url,product_url-href,similar,similar-href
"1733566492-1","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-50009109-9ab90ead8a03c7b7454cafa8f866cd37","","230","4.9","จังหวัดสมุทรปราการ","โค้ดลด 10%ซื้อ 2 ชิ้น ลด 2%","badge-video","https://down-th.img.susercontent.com/file/th-11134207-7r98r-lze9lp5okxa9e8_tn.webp","","ขายแล้ว 6.4พัน ชิ้น","2-4 วัน","Boncafe - Bontea Mix บอนที มิกซ์ กลิ่นพีช ชาผลไม้ ชาผลไม้สำเร็จรูป ชาพีช  | 1 kg (ถุงฟอยล์)฿230โค้ดลด 10%ซื้อ 2 ชิ้น ลด 2%4.9ขายแล้ว 6.4พัน ชิ้น2-4 วันจังหวัดสมุทรปราการ","https://shopee.co.th/Boncafe-Bontea-Mix-%E0%B8%9A%E0%B8%AD%E0%B8%99%E0%B8%97%E0%B8%B5-%E0%B8%A1%E0%B8%B4%E0%B8%81%E0%B8%8B%E0%B9%8C-%E0%B8%81%E0%B8%A5%E0%B8%B4%E0%B9%88%E0%B8%99%E0%B8%9E%E0%B8%B5%E0%B8%8A-%E0%B8%8A%E0%B8%B2%E0%B8%9C%E0%B8%A5%E0%B9%84%E0%B8%A1%E0%B9%89-%E0%B8%8A%E0%B8%B2%E0%B8%9C%E0%B8%A5%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B8%AA%E0%B8%B3%E0%B9%80%E0%B8%A3%E0%B9%87%E0%B8%88%E0%B8%A3%E0%B8%B9%E0%B8%9B-%E0%B8%8A%E0%B8%B2%E0%B8%9E%E0%B8%B5%E0%B8%8A-1-kg-(%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%9F%E0%B8%AD%E0%B8%A2%E0%B8%A5%E0%B9%8C)-i.223040734.7219563709?sp_atk=ac0a4580-05bf-4fe2-8c5b-f06a40f84db0&xptdk=ac0a4580-05bf-4fe2-8c5b-f06a40f84db0","ค้นหาสินค้าที่คล้ายกัน","https://shopee.co.th/find_similar_products?catid=100629&itemid=7219563709&shopid=223040734"
"1733566492-2","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-50009109-a79dbf4b90876415e15781cafa0b079a","","119","4.9","จังหวัดกรุงเทพมหานคร","ถูกสุดบนช้อปปี้ส่งไว","badge-video","https://down-th.img.susercontent.com/file/2763106341be173070c3328129c67ca0_tn.webp","","ขายแล้ว 15.3พัน ชิ้น","1-3 วัน","ชาอู่หลง เกรดเอ ชาไต้หวันภูเขาสูง  กลิ่นเข้มข้น 乌龙茶 เบอร์17฿119-1%ถูกสุดบนช้อปปี้ส่งไว4.9ขายแล้ว 15.3พัน ชิ้น1-3 วันจังหวัดกรุงเทพมหานคร","https://shopee.co.th/%E0%B8%8A%E0%B8%B2%E0%B8%AD%E0%B8%B9%E0%B9%88%E0%B8%AB%E0%B8%A5%E0%B8%87-%E0%B9%80%E0%B8%81%E0%B8%A3%E0%B8%94%E0%B9%80%E0%B8%AD-%E0%B8%8A%E0%B8%B2%E0%B9%84%E0%B8%95%E0%B9%89%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B8%A0%E0%B8%B9%E0%B9%80%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B9%E0%B8%87-%E0%B8%81%E0%B8%A5%E0%B8%B4%E0%B9%88%E0%B8%99%E0%B9%80%E0%B8%82%E0%B9%89%E0%B8%A1%E0%B8%82%E0%B9%89%E0%B8%99-%E4%B9%8C%E9%BE%99%E8%8C%B6-%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C17-i.273694038.8551455172?sp_atk=2add8fc1-6e25-44e3-9a30-f85e0154b5b5&xptdk=2add8fc1-6e25-44e3-9a30-f85e0154b5b5","ค้นหาสินค้าที่คล้ายกัน","https://shopee.co.th/find_similar_products?catid=100629&itemid=8551455172&shopid=273694038"
"1733566492-3","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","","224","4.9","จังหวัดเชียงใหม่","โค้ดลด ฿15ซื้อ 5 ชิ้น ลด 2%","badge-video","https://down-th.img.susercontent.com/file/th-11134207-23020-qmriotmjajnve9_tn.webp","","ขายแล้ว 313 ชิ้น","3-4 วัน","ชาหอมหมื่นลี้(Osmanthus tea) เกรดPremium กลิ่นหอมมาก Organic ยอดใบชาคู่ที่3💐฿224-20%โค้ดลด ฿15ซื้อ 5 ชิ้น ลด 2%4.9ขายแล้ว 313 ชิ้น3-4 วันจังหวัดเชียงใหม่","https://shopee.co.th/%E0%B8%8A%E0%B8%B2%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B8%AB%E0%B8%A1%E0%B8%B7%E0%B9%88%E0%B8%99%E0%B8%A5%E0%B8%B5%E0%B9%89(Osmanthus-tea)-%E0%B9%80%E0%B8%81%E0%B8%A3%E0%B8%94Premium-%E0%B8%81%E0%B8%A5%E0%B8%B4%E0%B9%88%E0%B8%99%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B8%A1%E0%B8%B2%E0%B8%81-Organic-%E0%B8%A2%E0%B8%AD%E0%B8%94%E0%B9%83%E0%B8%9A%E0%B8%8A%E0%B8%B2%E0%B8%84%E0%B8%B9%E0%B9%88%E0%B8%97%E0%B8%B5%E0%B9%883%F0%9F%92%90-i.261095943.5651076958?sp_atk=367c67e9-a9ce-438d-b8b7-32a87755e1a0&xptdk=367c67e9-a9ce-438d-b8b7-32a87755e1a0","ค้นหาสินค้าที่คล้ายกัน","https://shopee.co.th/find_similar_products?catid=100629&itemid=5651076958&shopid=261095943"
"1733566492-4","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r990-lza9h6gjo4vd88","","300","5.0","จังหวัดกรุงเทพมหานคร","ส่งไวซื้อ 2 ชิ้น ลด 5%","badge-video","https://down-th.img.susercontent.com/file/b306a4dd0969e533aab523d2f912f47a_tn.webp","","ขายแล้ว 23 ชิ้น","","ส่งฟรี ชาอู่หลงสุ่ยเซียนกลิ่นหอมละมุนAA 武夷水仙清香型AA Fragrant ShuiXian Oolong TeaAA฿300ส่งไวซื้อ 2 ชิ้น ลด 5%5.0ขายแล้ว 23 ชิ้น< 2 วันจังหวัดกรุงเทพมหานคร","https://shopee.co.th/%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%9F%E0%B8%A3%E0%B8%B5-%E0%B8%8A%E0%B8%B2%E0%B8%AD%E0%B8%B9%E0%B9%88%E0%B8%AB%E0%B8%A5%E0%B8%87%E0%B8%AA%E0%B8%B8%E0%B9%88%E0%B8%A2%E0%B9%80%E0%B8%8B%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A5%E0%B8%B4%E0%B9%88%E0%B8%99%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B8%A5%E0%B8%B0%E0%B8%A1%E0%B8%B8%E0%B8%99AA-%E6%AD%A6%E5%A4%B7%E6%B0%B4%E4%BB%99%E6%B8%85%E9%A6%99%E5%9E%8BAA-Fragrant-ShuiXian-Oolong-TeaAA-i.296557093.8880610377?sp_atk=67c04d88-b3f7-42bb-835d-b595c1cb7e5e&xptdk=67c04d88-b3f7-42bb-835d-b595c1cb7e5e","ค้นหาสินค้าที่คล้ายกัน","https://shopee.co.th/find_similar_products?catid=100629&itemid=8880610377&shopid=296557093"
"1733566492-5","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","","184","4.9","จังหวัดเชียงใหม่","โค้ดลด ฿10ซื้อ 5 ชิ้น ลด 2%","","https://down-th.img.susercontent.com/file/th-11134207-7qul9-lhysmfspw64za8_tn.webp","","ขายแล้ว 100 ชิ้น","3-4 วัน","ชาขาวปลายแหลม เกรดพรีเมียม Organic100% ยอดแรก ขนาด50กรัม฿184-43%โค้ดลด ฿10ซื้อ 5 ชิ้น ลด 2%4.9ขายแล้ว 100 ชิ้น3-4 วันจังหวัดเชียงใหม่","https://shopee.co.th/%E0%B8%8A%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%A7%E0%B8%9B%E0%B8%A5%E0%B8%B2%E0%B8%A2%E0%B9%81%E0%B8%AB%E0%B8%A5%E0%B8%A1-%E0%B9%80%E0%B8%81%E0%B8%A3%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B5%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B8%A2%E0%B8%A1-Organic100-%E0%B8%A2%E0%B8%AD%E0%B8%94%E0%B9%81%E0%B8%A3%E0%B8%81-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%9450%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-i.261095943.6045712047?sp_atk=552501ba-2c2e-4713-9ffe-2d758f09b5da&xptdk=552501ba-2c2e-4713-9ffe-2d758f09b5da","ค้นหาสินค้าที่คล้ายกัน","https://shopee.co.th/find_similar_products?catid=100629&itemid=6045712047&shopid=261095943"
"1733566492-6","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","","129","4.6","จังหวัดกรุงเทพมหานคร","ส่งไว","","https://down-th.img.susercontent.com/file/fde9032e5679bd2f67b9700febd5fefa_tn.webp","","ขายแล้ว 80 ชิ้น","2-3 วัน","ชาเตี๋ยกวนยินAAA（铁观音AAA），ควบคุมน้ำตาลในเลือด เสริมความจำ ลดความดันโลหิต฿129-28%ส่งไว4.6ขายแล้ว 80 ชิ้น2-3 วันจังหวัดกรุงเทพมหานคร","https://shopee.co.th/%E0%B8%8A%E0%B8%B2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%81%E0%B8%A7%E0%B8%99%E0%B8%A2%E0%B8%B4%E0%B8%99AAA%EF%BC%88%E9%93%81%E8%A7%82%E9%9F%B3AAA%EF%BC%89%EF%BC%8C%E0%B8%84%E0%B8%A7%E0%B8%9A%E0%B8%84%E0%B8%B8%E0%B8%A1%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%95%E0%B8%B2%E0%B8%A5%E0%B9%83%E0%B8%99%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%94-%E0%B9%80%E0%B8%AA%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%88%E0%B8%B3-%E0%B8%A5%E0%B8%94%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%94%E0%B8%B1%E0%B8%99%E0%B9%82%E0%B8%A5%E0%B8%AB%E0%B8%B4%E0%B8%95-i.441773208.9362495811?sp_atk=375892b1-91ff-49c7-82c3-184f7eefca85&xptdk=375892b1-91ff-49c7-82c3-184f7eefca85","ค้นหาสินค้าที่คล้ายกัน","https://shopee.co.th/find_similar_products?catid=100629&itemid=9362495811&shopid=441773208"
"1733566492-7","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","","299","5.0","จังหวัดกรุงเทพมหานคร","ส่งไว","","https://down-th.img.susercontent.com/file/f1f454e775d975e59e57f7b39f2f599f_tn.webp","","ขายแล้ว 29 ชิ้น","2-3 วัน","ชาผู่เอ๋อ ชาดิบ 357g/ชิ้น (普洱生茶饼) ชาผู่เอ๋อ ความงาม กระชับสัดส่วน ต่อต้านวัย฿299-54%ส่งไว5.0ขายแล้ว 29 ชิ้น2-3 วันจังหวัดกรุงเทพมหานคร","https://shopee.co.th/%E0%B8%8A%E0%B8%B2%E0%B8%9C%E0%B8%B9%E0%B9%88%E0%B9%80%E0%B8%AD%E0%B9%8B%E0%B8%AD-%E0%B8%8A%E0%B8%B2%E0%B8%94%E0%B8%B4%E0%B8%9A-357g-%E0%B8%8A%E0%B8%B4%E0%B9%89%E0%B8%99-(%E6%99%AE%E6%B4%B1%E7%94%9F%E8%8C%B6%E9%A5%BC)-%E0%B8%8A%E0%B8%B2%E0%B8%9C%E0%B8%B9%E0%B9%88%E0%B9%80%E0%B8%AD%E0%B9%8B%E0%B8%AD-%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%87%E0%B8%B2%E0%B8%A1-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%8A%E0%B8%B1%E0%B8%9A%E0%B8%AA%E0%B8%B1%E0%B8%94%E0%B8%AA%E0%B9%88%E0%B8%A7%E0%B8%99-%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%95%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%A7%E0%B8%B1%E0%B8%A2-i.441773208.15322454381?sp_atk=21acb857-fefc-4ff5-a959-c9cd41ac5597&xptdk=21acb857-fefc-4ff5-a959-c9cd41ac5597","ค้นหาสินค้าที่คล้ายกัน","https://shopee.co.th/find_similar_products?catid=100629&itemid=15322454381&shopid=441773208"
"1733566492-8","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-50009109-9ab90ead8a03c7b7454cafa8f866cd37","","95","4.9","จังหวัดเพชรบูรณ์","ถูกสุดบนช้อปปี้ส่งไว","","https://down-th.img.susercontent.com/file/th-11134207-7r990-luaz1mxnm5kx28_tn.webp","","ขายแล้ว 7.4พัน ชิ้น","3-5 วัน","ผงน้ำมันมะพร้าวสกัดเย็น ขนาด 100 กรัม เกรดพรีเมี่ยม฿95-40%ถูกสุดบนช้อปปี้ส่งไว4.9ขายแล้ว 7.4พัน ชิ้น3-5 วันจังหวัดเพชรบูรณ์","https://shopee.co.th/%E0%B8%9C%E0%B8%87%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%A1%E0%B8%B1%E0%B8%99%E0%B8%A1%E0%B8%B0%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%AA%E0%B8%81%E0%B8%B1%E0%B8%94%E0%B9%80%E0%B8%A2%E0%B9%87%E0%B8%99-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-100-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-%E0%B9%80%E0%B8%81%E0%B8%A3%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B5%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1-i.654698850.23985704658?sp_atk=53b8dca7-16a3-473b-b4ed-65402b0400c2&xptdk=53b8dca7-16a3-473b-b4ed-65402b0400c2","ค้นหาสินค้าที่คล้ายกัน","https://shopee.co.th/find_similar_products?catid=100629&itemid=23985704658&shopid=654698850"
"1733566492-9","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","","164","4.9","จังหวัดเชียงใหม่","โค้ดลด ฿10ซื้อ 5 ชิ้น ลด 2%","badge-video","https://down-th.img.susercontent.com/file/th-11134207-23020-blat23896qnv8a_tn.webp","","ขายแล้ว 201 ชิ้น","3-4 วัน","ชามะลิ กลิ่นหอมฟินมาก🪴ยอดชามะลิอย่างดี ดื่มง่าย🪴มีให้เลือกหลายขนาด🪴ใบชาOrganic100%🪴฿164-9%โค้ดลด ฿10ซื้อ 5 ชิ้น ลด 2%4.9ขายแล้ว 201 ชิ้น3-4 วันจังหวัดเชียงใหม่","https://shopee.co.th/%E0%B8%8A%E0%B8%B2%E0%B8%A1%E0%B8%B0%E0%B8%A5%E0%B8%B4-%E0%B8%81%E0%B8%A5%E0%B8%B4%E0%B9%88%E0%B8%99%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B8%9F%E0%B8%B4%E0%B8%99%E0%B8%A1%E0%B8%B2%E0%B8%81%F0%9F%AA%B4%E0%B8%A2%E0%B8%AD%E0%B8%94%E0%B8%8A%E0%B8%B2%E0%B8%A1%E0%B8%B0%E0%B8%A5%E0%B8%B4%E0%B8%AD%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B8%87%E0%B8%94%E0%B8%B5-%E0%B8%94%E0%B8%B7%E0%B9%88%E0%B8%A1%E0%B8%87%E0%B9%88%E0%B8%B2%E0%B8%A2%F0%9F%AA%B4%E0%B8%A1%E0%B8%B5%E0%B9%83%E0%B8%AB%E0%B9%89%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%A5%E0%B8%B2%E0%B8%A2%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94%F0%9F%AA%B4%E0%B9%83%E0%B8%9A%E0%B8%8A%E0%B8%B2Organic100-%F0%9F%AA%B4-i.261095943.6133963617?sp_atk=a56ab436-3eef-41ef-85d4-13ceb49cfb69&xptdk=a56ab436-3eef-41ef-85d4-13ceb49cfb69","ค้นหาสินค้าที่คล้ายกัน","https://shopee.co.th/find_similar_products?catid=100629&itemid=6133963617&shopid=261095943"
"1733566492-10","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","","65","4.5","จังหวัดกรุงเทพมหานคร","ส่งไว","","https://down-th.img.susercontent.com/file/th-11134207-7qul2-lgamlm0v18une9_tn.webp","","ขายแล้ว 32 ชิ้น","2-3 วัน","ชาผู่เอ๋อธรรมชาติ（原味普洱粒迷你P1）เครื่องดื่มเพื่อสุขภาพ ความงาม ลดน้ำหนัก  ต่อต้านริ้วรอย฿65-13%ส่งไว4.5ขายแล้ว 32 ชิ้น2-3 วันจังหวัดกรุงเทพมหานคร","https://shopee.co.th/%E0%B8%8A%E0%B8%B2%E0%B8%9C%E0%B8%B9%E0%B9%88%E0%B9%80%E0%B8%AD%E0%B9%8B%E0%B8%AD%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4%EF%BC%88%E5%8E%9F%E5%91%B3%E6%99%AE%E6%B4%B1%E7%B2%92%E8%BF%B7%E4%BD%A0P1%EF%BC%89%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%94%E0%B8%B7%E0%B9%88%E0%B8%A1%E0%B9%80%E0%B8%9E%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%A0%E0%B8%B2%E0%B8%9E-%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%87%E0%B8%B2%E0%B8%A1-%E0%B8%A5%E0%B8%94%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%81-%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%95%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%A3%E0%B8%B4%E0%B9%89%E0%B8%A7%E0%B8%A3%E0%B8%AD%E0%B8%A2-i.441773208.8761078804?sp_atk=10209d9a-edeb-4e7b-b460-5eb5e18e8d46&xptdk=10209d9a-edeb-4e7b-b460-5eb5e18e8d46","ค้นหาสินค้าที่คล้ายกัน","https://shopee.co.th/find_similar_products?catid=100629&itemid=8761078804&shopid=441773208"
"1733566492-11","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","","30","4.8","จังหวัดกรุงเทพมหานคร","โค้ดลด 15%","badge-video","https://down-th.img.susercontent.com/file/th-11134207-7r98z-m05cs1n808uw12_tn.webp","","ขายแล้ว 198 ชิ้น","2-4 วัน","【พร้อมส่ง✈️】แท้💯% น้ำหอมแบ่งขาย Le Labo Another 13 & Santal 33 & Baie 19 & Gaiac 10 & The Matcha 26 EDP 2ml/5ml/10ml฿30-75%โค้ดลด 15%4.8ขายแล้ว 198 ชิ้น2-4 วันจังหวัดกรุงเทพมหานคร","https://shopee.co.th/%E3%80%90%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%AA%E0%B9%88%E0%B8%87%E2%9C%88%EF%B8%8F%E3%80%91%E0%B9%81%E0%B8%97%E0%B9%89%F0%9F%92%AF-%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B9%81%E0%B8%9A%E0%B9%88%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%A2-Le-Labo-Another-13-Santal-33-Baie-19-Gaiac-10-The-Matcha-26-EDP-2ml-5ml-10ml-i.1272753972.29654305362?sp_atk=841119d4-15e7-4d8a-9f2c-b492cfcc4689&xptdk=841119d4-15e7-4d8a-9f2c-b492cfcc4689","ค้นหาสินค้าที่คล้ายกัน","https://shopee.co.th/find_similar_products?catid=100630&itemid=29654305362&shopid=1272753972"
"1733566492-12","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","","204","4.9","ต่างประเทศ","","","https://down-th.img.susercontent.com/file/93b891debf7314dd58e9dfeeaf7aa1b3_tn.webp","","ขายแล้ว 2.1พัน ชิ้น","","[Kesoto1] ชามมัทฉะพร้อมพวย บอโรซิลิเกตสูง Cold Brew,Classic Glaze Tea Matcha Spoon ของขวัญญี่ปุ่นสําหรับสํานักงาน,ชุดมัทฉะชา Chasen สําหรับผู้เริ่มต้น฿204-21%4.9ขายแล้ว 2.1พัน ชิ้นต่างประเทศ","https://shopee.co.th/-Kesoto1-%E0%B8%8A%E0%B8%B2%E0%B8%A1%E0%B8%A1%E0%B8%B1%E0%B8%97%E0%B8%89%E0%B8%B0%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%9E%E0%B8%A7%E0%B8%A2-%E0%B8%9A%E0%B8%AD%E0%B9%82%E0%B8%A3%E0%B8%8B%E0%B8%B4%E0%B8%A5%E0%B8%B4%E0%B9%80%E0%B8%81%E0%B8%95%E0%B8%AA%E0%B8%B9%E0%B8%87-Cold-Brew-Classic-Glaze-Tea-Matcha-Spoon-%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%82%E0%B8%A7%E0%B8%B1%E0%B8%8D%E0%B8%8D%E0%B8%B5%E0%B9%88%E0%B8%9B%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B8%AA%E0%B9%8D%E0%B8%B2%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%AA%E0%B9%8D%E0%B8%B2%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%87%E0%B8%B2%E0%B8%99-%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B8%A1%E0%B8%B1%E0%B8%97%E0%B8%89%E0%B8%B0%E0%B8%8A%E0%B8%B2-Chasen-%E0%B8%AA%E0%B9%8D%E0%B8%B2%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B9%80%E0%B8%A3%E0%B8%B4%E0%B9%88%E0%B8%A1%E0%B8%95%E0%B9%89%E0%B8%99-i.196268298.29806164415?sp_atk=f111a2ed-c746-4472-a2b7-acbbaa012d05&xptdk=f111a2ed-c746-4472-a2b7-acbbaa012d05","ค้นหาสินค้าที่คล้ายกัน","https://shopee.co.th/find_similar_products?catid=100636&itemid=29806164415&shopid=196268298"
